time="2024-05-09T02:24:45.641" level=info msg="Starting kbench..."
time="2024-05-09T02:24:45.646" level=info msg="Created a new Pod manager."
time="2024-05-09T02:24:45.666" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-09T02:29:26.918" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:30.059" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:30.059" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:30.059" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:33.255" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:33.255" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:33.255" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:36.435" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:36.435" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:36.435" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:39.597" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:39.597" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:39.597" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:42.773" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:42.773" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:42.773" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:45.976" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:45.976" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:45.976" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:49.143" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:49.143" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:49.143" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:52.295" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:52.295" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:52.295" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:55.445" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:55.445" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:55.445" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:29:58.606" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:29:58.606" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:29:58.606" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:01.753" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:01.753" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:01.753" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:04.924" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:04.924" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:04.924" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:08.099" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:08.099" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:08.099" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:11.255" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:11.255" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:11.255" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:14.406" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:14.406" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:14.406" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:17.573" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:17.573" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:17.573" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:20.712" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:20.712" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:20.712" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:23.876" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:23.876" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:23.876" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:27.043" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:27.044" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:27.044" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:30.203" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:30.203" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:30.204" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:33.377" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:33.377" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:33.377" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:36.527" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:36.527" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:36.527" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:39.658" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:39.658" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:39.658" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:42.804" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:42.804" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:42.804" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:45.965" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:45.966" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:45.966" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:49.131" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:49.131" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:49.131" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:52.292" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:52.292" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:52.292" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:55.458" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:55.458" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:55.458" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:30:58.635" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:30:58.635" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:30:58.635" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:01.766" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:01.766" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:01.766" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:04.904" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:04.904" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:04.904" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:08.083" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:08.083" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:08.083" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:11.260" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:11.260" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:11.260" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:14.447" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:14.447" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:14.447" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:17.625" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:17.625" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:17.625" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:20.803" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:20.803" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:20.803" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:23.971" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:23.971" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:23.971" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:27.155" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:27.155" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:27.155" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:30.287" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:30.287" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:30.287" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:33.478" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:33.478" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:33.478" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:36.657" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:36.657" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:36.657" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:39.824" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:39.824" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:39.824" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:43.011" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:43.011" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:43.011" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:46.194" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:46.194" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:46.194" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:49.374" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:49.374" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:49.374" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:52.514" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:52.514" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:52.514" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:55.688" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:55.689" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:55.689" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:31:58.823" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:31:58.823" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:31:58.823" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:01.970" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:01.971" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:01.971" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:05.138" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:05.138" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:05.138" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:08.287" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:08.287" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:08.287" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:11.399" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:11.399" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:11.399" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:14.532" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:14.532" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:14.532" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:17.687" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:17.687" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:17.687" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:20.829" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:20.829" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:20.829" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:23.997" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:23.997" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:23.997" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:27.140" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:27.140" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:27.140" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:30.254" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:30.254" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:30.254" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:33.427" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:33.427" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:33.427" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:36.610" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:36.610" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:36.610" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:39.765" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:39.765" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:39.765" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:42.941" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:42.941" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:42.941" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:46.128" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:46.128" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:46.128" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:49.302" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:49.302" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:49.302" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:52.475" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:52.475" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:52.475" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:55.620" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:55.620" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:55.620" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:32:58.800" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:32:58.801" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:32:58.801" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:01.963" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:01.964" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:01.964" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:05.149" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:05.149" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:05.149" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:08.286" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:08.286" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:08.286" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:11.448" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:11.449" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:11.449" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:14.616" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:14.616" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:14.616" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:17.751" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:17.751" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:17.751" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:20.934" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:20.934" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:20.935" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:33:24.077" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:33:24.077" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:33:24.077" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
